,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
2108,Sriram__PSPK,2022-11-12 04:33:09+00:00,6.0,,3.0,0.0,1.591287960108163e+18,https://twitter.com/Sriram__PSPK/status/1591287960108163072,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj920agAIPLt3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj920agAIPLt3?format=jpg&name=large')]",JaganannaMosam,2539.0,Tag -&gt; #JaganannaMosam https://t.co/j1FWG7PmDs
2109,Insomnia_guy21,2022-11-12 04:33:06+00:00,0.0,,2.0,0.0,1.5912879483389583e+18,https://twitter.com/Insomnia_guy21/status/1591287948338958336,,['JaganannaMosam'],,JaganannaMosam,871.0,".
#JaganannaMosam"
2110,thangella_anil,2022-11-12 04:33:04+00:00,1.0,,0.0,0.0,1.5912879409066516e+18,https://twitter.com/thangella_anil/status/1591287940906651649,,['JaganannaMosam'],,JaganannaMosam,301.0,#JaganannaMosam
2111,Trend_Janasena,2022-11-12 04:33:03+00:00,48.0,,42.0,0.0,1.5912879384110326e+18,https://twitter.com/Trend_Janasena/status/1591287938411032577,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj8kcaEAA6pA1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj8kcaEAA6pA1?format=jpg&name=large')]",JaganannaMosam,3260.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

జగనన్న కాలనీల పేరిట పేదలకు జరిగిన మోసాన్ని నిలదీయండి..

#JaganannaMosam https://t.co/SCUYPFMIzl"
2112,SatyaDevVS,2022-11-12 04:33:02+00:00,0.0,,0.0,0.0,1.591287931469443e+18,https://twitter.com/SatyaDevVS/status/1591287931469443073,,['JaganannaMosam'],,JaganannaMosam,27.0,#JaganannaMosam https://t.co/JmxGMQdkKY
2113,itsGuidoFawkes,2022-11-12 04:32:55+00:00,22.0,,29.0,0.0,1.591287904726569e+18,https://twitter.com/itsGuidoFawkes/status/1591287904726568963,,['JaganannaMosam'],,JaganannaMosam,1911.0,#JaganannaMosam https://t.co/DLh0ANkdbf
2114,SatyaDevVS,2022-11-12 04:32:53+00:00,0.0,,1.0,0.0,1.591287895494914e+18,https://twitter.com/SatyaDevVS/status/1591287895494914048,,['JaganannaMosam'],,JaganannaMosam,27.0,#JaganannaMosam https://t.co/gxvDnoSYpd
2115,RajendraRRR,2022-11-12 04:32:52+00:00,0.0,,1.0,0.0,1.5912878887924e+18,https://twitter.com/RajendraRRR/status/1591287888792399872,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVj5TEXEAASlEe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVj5TEXEAASlEe?format=jpg&name=large')]",JaganannaMosam,11.0,#JaganannaMosam https://t.co/jJrG9fW1lX https://t.co/V7ESjlkH09
2116,LovelyB59040436,2022-11-12 04:32:50+00:00,0.0,,0.0,0.0,1.5912878808399913e+18,https://twitter.com/LovelyB59040436/status/1591287880839991302,,['JaganannaMosam'],,JaganannaMosam,627.0,@TrendPSPK #JaganannaMosam
2117,Vamsivardhan_2,2022-11-12 04:32:48+00:00,3.0,,7.0,0.0,1.5912878729837445e+18,https://twitter.com/Vamsivardhan_2/status/1591287872983744513,,['JaganannaMosam'],,JaganannaMosam,1339.0,"Tag for today trend 

👉 #JaganannaMosam"
